Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family
Ethnographic Atlas,Lovedu,Ab14,xd15,Lovedu (Ab14),Lovedu,FX14,-24,31,-24,31,lobe1242,Lobedu,,Atlantic-Congo
Western North American Indian database,Lower Chinook,WNAI27,xd1078,Lower Chinook (J27),Chinookans of the Lower Columbia River,NR06,46.35,-124,46.4,124,chin1286,Chinook,chh,Chinookan
Ethnographic Atlas,Lifu,Ih7,xd873,Lifu (Ih7),,,-20.94,167.23,-21,163,dehu1237,Dehu,dhv,Austronesian
Binford Hunter-Gatherer,Lower Chinook,B274,xd1078,Chinook (B274),Chinookans of the Lower Columbia River,NR06,46.06,-123.75,46.06,-123.75,chin1286,Chinook,chh,Chinookan
Ethnographic Atlas,Lower Chinook,Nb19,xd1078,Chinook (Nb19),Chinookans of the Lower Columbia River,NR06,45.99,-123.77,46,-124,chin1286,Chinook,chh,Chinookan
Ethnographic Atlas,Lowiili,Ag36,xd273,Lowiili (Ag36),,,11,-3,11,-3,malb1235,Malba Birifor,bfo,Atlantic-Congo
Standard cross-cultural sample,Lozi,SCCS4,xd26,Lozi (SCCS4),Lozi,FQ09,-16,23.5,-16,23.5,lozi1239,Lozi,loz,Atlantic-Congo
Ethnographic Atlas,Sukuma,Ad22,xd90,Sukuma (Ad22),,,-3,34,-3,34,suku1261,Sukuma,suk,Atlantic-Congo
Ethnographic Atlas,Lozi,Ab3,xd26,Lozi (Ab3),Lozi,FQ09,-15,23,-15,23,lozi1239,Lozi,loz,Atlantic-Congo
Ethnographic Atlas,Luapula,Ac34,xd60,Luapula (Ac34),,,-10,29,-10,29,luun1238,Luunda,,Atlantic-Congo
Binford Hunter-Gatherer,Wiyot,B184,xd1097,Wiyot (B184),,,40.75,-124.14,40.75,-124.14,wiyo1248,Wiyot,wiy,Algic
Ethnographic Atlas,Luba,Ae6,xd182,Luba (Ae6),,,-8,26,-8,26,luba1250,Luba-Katanga,lub,Atlantic-Congo
Ethnographic Atlas,Luchazi,Ac27,xd52,Luchazi (Ac27),,,-13,23,-13,23,luch1239,Luchazi,lch,Atlantic-Congo
Ethnographic Atlas,Lugbara,Ai32,xd362,Lugbara (Ai32),,,3,32,3,32,lugb1240,Lugbara,lgg,Central Sudanic
Ethnographic Atlas,Luguru,Ad14,xd81,Luguru (Ad14),,,-8,38,-8,38,lugu1238,Luguru,ruf,Atlantic-Congo
Ethnographic Atlas,Sumbanese,Ic9,xd771,Sumbanese (Ic9),,,-10,120,-10,120,kamb1299,Kambera,xbr,Austronesian
Standard cross-cultural sample,Luguru,SCCS10,xd81,Luguru (SCCS10),,,-6.83,37.67,-6.83,37.67,lugu1238,Luguru,ruf,Atlantic-Congo
Ethnographic Atlas,Luimbe,Ac28,xd53,Luimbe (Ac28),,,-12,18,-12,18,luim1238,Luimbi,lum,Atlantic-Congo
Western North American Indian database,Wiyot,WNAI39,xd1097,Wiyot (J39),,,40.8,-124,40.8,124,wiyo1248,Wiyot,wiy,Algic
Binford Hunter-Gatherer,Luiseño,B150,xd1133,Luiseno (B150),,,33.42,-117.3,33.42,-117.3,luis1253,Luiseno,lui,Uto-Aztecan
Western North American Indian database,Luiseño,WNAI82,xd1133,Luiseno (J82),,,33.3,-117.3,33.3,117.3,luis1253,Luiseno,lui,Uto-Aztecan
Ethnographic Atlas,Luiseño,Nc33,xd1133,Luiseno (Nc33),,,33,-117,33,-117,luis1253,Luiseno,lui,Uto-Aztecan
Ethnographic Atlas,Lulua,Ae16,xd134,Lulua (Ae16),,,-6,23,-6,23,luba1249,Luba-Lulua,lua,Atlantic-Congo
Ethnographic Atlas,Sumbawanese,Ic12,xd762,Sumbawanese (Ic12),,,-8.63,117.27,-4,118,sumb1241,Sumbawa,smw,Austronesian
Binford Hunter-Gatherer,Lummi,B277,xd1074,Lummi (B277),,,48.84,-122.34,48.84,-122.34,lumm1243,Lummi,,Salishan
Ethnographic Atlas,Lummi,Nb15,xd1074,Lummi (Nb15),,,48.84,-123.27,49,-123,lumm1243,Lummi,,Salishan
Ethnographic Atlas,Wiyot,Nb36,xd1097,Wiyot (Nb36),,,39.81,-123.55,40,-124,wiyo1248,Wiyot,wiy,Algic
Western North American Indian database,Lummi,WNAI21,xd1074,Lummi Salish (J21),,,48.7,-123.7,48.7,123.7,lumm1243,Lummi,,Salishan
Ethnographic Atlas,Luo,Aj6,xd411,Luo (Aj6),Luo,FL11,-1,34,-1,34,luok1236,Luo (Kenya and Tanzania),luo,Nilotic
Ethnographic Atlas,Luvale,Ac11,xd35,Luvale (Ac11),,,-12,22,-12,22,luva1239,Luvale,lue,Atlantic-Congo
Ethnographic Atlas,Luwa,Ac29,xd54,Luwa (Ac29),,,-7,19,-7,19,sond1250,Sonde,shc,Atlantic-Congo
Ethnographic Atlas,Sumbwa,Ad47,xd117,Sumbwa (Ad47),,,-4,32,-4,32,sumb1240,Sumbwa,suw,Atlantic-Congo
Ethnographic Atlas,Maasi,Aj2,xd395,Masai (Aj2),Masai,FL12,-2,36,-2,36,masa1300,Masai,mas,Nilotic
Standard cross-cultural sample,Maasi,SCCS34,xd395,Masai (SCCS34),Masai,FL12,-3.5,36.75,-3.5,36.75,masa1300,Masai,mas,Nilotic
Standard cross-cultural sample,Wodaabe Fulani,SCCS25,xd474,Pastoral Fulani (SCCS25),,,15,7.5,15,7.5,boro1274,Bororo (Atlantic Congo),,Atlantic-Congo
Ethnographic Atlas,Macassarese,Ic1,xd759,Macassarese (Ic1),Makassar,OG06,-5.31,119.69,-5,119,maka1311,Makasar,mak,Austronesian
Ethnographic Atlas,Macha,Ca13,xd419,Macha (Ca13),,,9,37,9,37,west2721,West Central Oromo,gaz,Afro-Asiatic
Ethnographic Atlas,Macushi,Sc12,xd1338,Macusi (Sc12),,,4,-59,4,-59,macu1259,Macushi,mbc,Cariban
Ethnographic Atlas,Widikum,Ae59,xd181,Eidekum (Ae59),,,6,10,6,10,meta1238,Meta',mgo,Atlantic-Congo
Ethnographic Atlas,Madan,Cj10,xd587,Madan (Cj10),,,31,47,31,47,meso1252,Gilit Mesopotamian Arabic,acm,Afro-Asiatic
Ethnographic Atlas,Sundi,Ac18,xd42,Sundi (Ac18),,,-5,14,-5,14,suun1239,Suundi,sdj,Atlantic-Congo
Ethnographic Atlas,Madi,Ai33,xd363,Madi (Ai33),,,4,32,4,32,madi1260,Ma'di,mhi,Central Sudanic
Ethnographic Atlas,Madia,Eg3,xd679,Maria Gond (Eg3),Gond,AW32,19,81,19,81,dand1238,Dandami Maria,daq,Dravidian
Ethnographic Atlas,Wodaabe Fulani,Cb24,xd474,Wodaabe Fulani (Cb24),,,12,12,12,12,boro1274,Bororo (Atlantic Congo),,Atlantic-Congo
Standard cross-cultural sample,Madia,SCCS60,xd679,Gond (SCCS60),Gond,AW32,19.63,80.92,19.63,80.92,dand1238,Dandami Maria,daq,Dravidian
Ethnographic Atlas,Mafa,Ah7,xd334,Matakam (Ah7),,,11,14,11,14,mafa1239,Mafa,maf,Afro-Asiatic
Ethnographic Atlas,Mafulu,Ie25,xd802,Mafulu (Ie25),,,-8,147,-8,147,fuyu1242,Fuyug,fuy,Goilalan
Ethnographic Atlas,Magar,Ee8,xd660,Magar (Ee8),,,28,84,28,84,east2352,Eastern Magar,mgp,Sino-Tibetan
Ethnographic Atlas,Suri,Aj20,xd396,Suri (Aj20),,,6,35,6,35,suri1267,Tirma-Chai,suq,Surmic
Ethnographic Atlas,Maguzawa,Cb1,xd458,Maguzawa (Cb1),Hausa,MS12,12,10,12,10,kano1249,Kano,,Afro-Asiatic
Ethnographic Atlas,Magyar,Ch8,xd572,Hungarian (Ch8),Hungary,EC01,47,20,47,20,hung1274,Hungarian,hun,Uralic
Ethnographic Atlas,Wogeo,Ie4,xd818,Wogeo (Ie4),Wogeo,OJ27,-3.24,144.1,-3,144,woge1237,Wogeo,woc,Austronesian
Western North American Indian database,Mahaguaduka,WNAI120,xd1169,Reese River Shoshone (J120),Western,NT22,39.3,-117.3,39.3,117.3,west2622,Western Shoshoni,,Uto-Aztecan
Ethnographic Atlas,Mahaguaduka,Nd35,xd1169,Mahaguaduka (Nd35),Western,NT22,39,-117,39,-117,west2622,Western Shoshoni,,Uto-Aztecan
Ethnographic Atlas,Susu,Ag26,xd262,Susu (Ag26),,,15,-13,15,-13,susu1250,Susu,sus,Mande
Standard cross-cultural sample,Wolof,SCCS21,xd469,Wolof (SCCS21),Wolof,MS30,13.75,-15.33,13.75,-15.33,nucl1347,Wolof,wol,Atlantic-Congo
Ethnographic Atlas,Svan,Ci9,xd585,Svan (Ci9),,,43,43,43,43,svan1243,Svan,sva,Kartvelian
Ethnographic Atlas,Wolof,Cb2,xd469,Wolof (Cb2),Wolof,MS30,15,-17,15,-17,nucl1347,Wolof,wol,Atlantic-Congo
Ethnographic Atlas,Swazi,Ab2,xd21,Swazi (Ab2),,,-27,32,-27,32,swat1243,Swati,ssw,Atlantic-Congo
Binford Hunter-Gatherer,Worrorra,B100,xd949,Worora (B100),,,-15.32,124.72,-15.32,124.72,worr1237,Worrorra,wro,Worrorran
Binford Hunter-Gatherer,Wikmunkan,B90,xd781,Wikmunkan (B90),,,-13.47,142,-13.47,142,wikm1247,Wik-Mungkan,wim,Pama-Nyungan
Western North American Indian database,Syilx,WNAI99,xd1001,Southern Okanagon (J99),,,48.8,-119.5,48.8,119.5,sout2963,Southern Okanogan,,Salishan
Binford Hunter-Gatherer,Wukchumni,B151,xd1124,Wukchumi (B151),Yokuts,NS29,36.45,-118.96,36.45,-118.96,tule1245,Tule-Kaweah Yokuts,,Yokutsan
Ethnographic Atlas,Ababda,Ca34,xd442,Ababda (Ca34),,,24,34,24,34,abab1239,Ababda,,Afro-Asiatic
Binford Hunter-Gatherer,Syilx,B322,xd1001,Okanagan (B322),,,49.46,-119.63,49.46,-119.63,sout2963,Southern Okanogan,,Salishan
Western North American Indian database,Wukchumni,WNAI75,xd1124,Kaweah Yokuts (J75),Yokuts,NS29,36.4,-119.1,36.4,119.1,tule1245,Tule-Kaweah Yokuts,,Yokutsan
Ethnographic Atlas,Syrians,Cj1,xd586,Syrians (Cj1),Syria,MD01,36,36,36,36,nort3140,North Lebanese Arabic,,Afro-Asiatic
Ethnographic Atlas,Wukchumni,Nc25,xd1124,Wukchumni (Nc25),Yokuts,NS29,36,-119,36,-119,tule1245,Tule-Kaweah Yokuts,,Yokutsan
Ethnographic Atlas,Tagbanua,Ia7,xd747,Tagbanua (Ia7),,,10,119,10,119,tagb1258,Tagbanwa,tbw,Austronesian
Ethnographic Atlas,/Xam,Aa8,xd8,Xam (Aa8),,,-30,23,-30,23,xamm1241,/Xam,xam,Tuu
Ethnographic Atlas,Tagotoka,Nd21,xd1154,Tagotoka (Nd21),,,43,-117,43,-117,nort1551,North Northern Paiute,,Uto-Aztecan
Binford Hunter-Gatherer,/Xam,B79,xd8,/Xam (B79),,,-31.47,19.77,-31.47,19.77,xamm1241,/Xam,xam,Tuu
Ethnographic Atlas,Tahitians,Ij8,xd897,Tahitians (Ij8),,,-17.71,-149.54,-18,-150,tahi1242,Tahitian,tah,Austronesian
Binford Hunter-Gatherer,//Xegwi,B78,xd936,//Xegwi (B78),,,-26.28,30.23,-26.28,30.23,xegw1238,//Xegwi,xeg,Tuu
Binford Hunter-Gatherer,Tahltan,B347,xd1043,Tahltan (B347),,,57.66,-127.85,57.66,-127.85,tahl1239,Tahltan,tht,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Xhosa,Ab11,xd12,Xhosa (Ab11),,,-32.89,27.91,-33,28,xesi1238,Xesibe,,Atlantic-Congo
Ethnographic Atlas,Tahltan,Na27,xd1043,Tahltan (Na27),,,58,-131,58,-131,tahl1239,Tahltan,tht,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Yabarana,Sc7,xd1350,Yabarana (Sc7),,,5,-66,5,-66,yaba1248,Yabarana,yar,Cariban
Ethnographic Atlas,Taíno,Sb8,xd1333,Taino (Sb8),,,19.94,-75.37,19,-75,tain1254,Taino,tnq,Arawakan
Ethnographic Atlas,Yagua,Se4,xd1368,Yagua (Se4),,,-3,-72,-3,-72,yagu1244,Yagua,yad,Peba-Yagua
Western North American Indian database,Northern Foothills Yokuts,WNAI73,xd1129,Chuckchansi Yokuts (J73),Yokuts,NS29,37.2,-119.8,37.2,119.8,nort2937,Northern Foothill Yokuts,,Yokutsan
Binford Hunter-Gatherer,Takelma,B176,xd1091,Tekelma (B176),,,42.44,-123.48,42.44,-123.48,take1257,Takelma,tkm,Takelma
Ethnographic Atlas,Yahanduka,Nd44,xd1179,Yahanduka (Nd44),,,42,-115,42,-115,west2622,Western Shoshoni,,Uto-Aztecan
Standard cross-cultural sample,Chekiang,SCCS114,xd643,Chinese (SCCS114),,,31,120.08,31,120.08,wuch1236,Wu Chinese,wuu,Sino-Tibetan
Binford Hunter-Gatherer,Wind River Eastern Shoshone,B227,xd1201,Wind River Shoshoni (B227),,,43.19,-108.86,43.19,-108.86,nort2955,Northern Shoshoni,,Uto-Aztecan
Ethnographic Atlas,Takelma,Nb30,xd1091,Takelma (Nb30),,,42,-123,42,-123,take1257,Takelma,tkm,Takelma
Ethnographic Atlas,Yahgan,Sg1,xd1383,Yahgan (Sg1),Yahgan,SH06,-55.02,-68.98,-55,-69,yama1264,Yámana,yag,Yámana
Western North American Indian database,Northern Miwok,WNAI68,xd1420,Northern Miwok (J68),,,38.5,-121,38.5,121,nort2968,Northern Sierra Miwok,nsq,Miwok-Costanoan
Ethnographic Atlas,Tallensi,Ag4,xd277,Tallensi (Ag4),Tallensi,FE11,11,-1,11,-1,taln1239,Talni,,Atlantic-Congo
Binford Hunter-Gatherer,Yahgan,B55,xd1383,Yaghan (B55),Yahgan,SH06,-55.02,-68.98,-60,-68.66,yama1264,Yámana,yag,Yámana
Ethnographic Atlas,Chemehuevi,Nd54,xd1190,Chemehuevi (Nd54),Southern,NT16,35,-115,35,-115,chem1251,Chemehuevi,,Uto-Aztecan
Standard cross-cultural sample,Tallensi,SCCS23,xd277,Tallensi (SCCS23),Tallensi,FE11,10.66,-0.57,10.66,-0.57,taln1239,Talni,,Atlantic-Congo
Standard cross-cultural sample,Yahgan,SCCS186,xd1383,Yahgan (SCCS186),Yahgan,SH06,-55.5,-69.5,-55.5,-69.5,yama1264,Yámana,yag,Yámana
Western North American Indian database,Northern Pomo,WNAI63,xd1115,Northern Pomo (J63),Pomo,NS18,39.6,-123.3,39.6,123.3,nort2966,Northern Pomo,pej,Pomoan
Western North American Indian database,Taltushtuntede,WNAI34,xd1423,Galice Creek Athapaskan (J34),,,42.5,-123.5,42.5,123.5,gali1261,Galice,gce,Athapaskan-Eyak-Tlingit
Ethnographic Atlas,Yaka,Ac20,xd45,Yaka (Ac20),,,-7,17,-7,17,yaka1269,Yaka-Pelende-Lonzo,yaf,Atlantic-Congo
Ethnographic Atlas,Northern Pomo,Nc17,xd1115,Northern Pomo (Nc17),Pomo,NS18,39,-123,39,-123,nort2966,Northern Pomo,pej,Pomoan
Ethnographic Atlas,Tamil,Eg2,xd678,Tamil (Eg2),Tamil,AW16,11,79,11,79,tami1289,Tamil,tam,Dravidian
Ethnographic Atlas,Yako,Af4,xd219,Yako (Af4),,,6,8,6,8,loka1252,Lokaa,yaz,Atlantic-Congo
Ethnographic Atlas,Cherkess,Ci4,xd580,Cherkess (Ci4),,,44,42,44,42,kaba1278,Kabardian,kbd,Abkhaz-Adyge
Western North American Indian database,Wind River Eastern Shoshone,WNAI128,xd1201,Wind River Shoshone (J128),,,43,-109,43,109,nort2955,Northern Shoshoni,,Uto-Aztecan
Standard cross-cultural sample,Tanala,SCCS81,xd689,Tanala (SCCS81),Tanala,FY08,-22,48,-22,48,tana1285,Tanala,,Austronesian
Ethnographic Atlas,Yakut,Ec2,xd628,Yakut (Ec2),Yakut,RV02,65,125,65,125,yaku1245,Yakut,sah,Turkic
Ethnographic Atlas,Cherokee,Ng5,xd1254,Cherokee (Ng5),Cherokee,NN08,36,-83,36,-83,cher1273,Cherokee,chr,Iroquoian
Ethnographic Atlas,Tanala,Eh3,xd689,Tanala (Eh3),Tanala,FY08,-22,47,-22,47,tana1285,Tanala,,Austronesian
Ethnographic Atlas,Yalunka,Ag54,xd293,Yalunka (Ag54),,,10,-12,10,-12,yalu1240,Yalunka,yal,Mande
Binford Hunter-Gatherer,Northern Saulteaux,B332,xd1049,North Saulteaux (B332),Ojibwa,NG06,52.28,-96.78,52.28,-96.78,alba1270,Albany River Ojibwa,,Algic
Ethnographic Atlas,Tangu,Ig21,xd854,Tangu (Ig21),,,-3.38,153.31,-3,153,tang1355,Tanggu,tgu,Lower Sepik-Ramu
Ethnographic Atlas,Yana,Nc11,xd1109,Yana (Nc11),,,41,-122,41,-122,yana1271,Yana,ynn,Yana
Ethnographic Atlas,Chewa,Ac10,xd34,Chewa (Ac10),,,-14,33,-14,33,chew1246,Chewa,,Atlantic-Congo
Ethnographic Atlas,Tanimbarese,Ic6,xd768,Tanimbarese (Ic6),,,-8.19,130.96,-8,131,sela1259,Selaru,slu,Austronesian
Ethnographic Atlas,Bulgarians,Ch5,xd569,Bulgarians (Ch5),Bulgarians,EE01,43,24,43,24,bulg1262,Bulgarian,bul,Indo-European
Binford Hunter-Gatherer,Yana,B174,xd1109,Northern Yana (B174),,,40.38,-122.89,40.38,-122.89,yana1271,Yana,ynn,Yana
Ethnographic Atlas,Bunda,Ac21,xd46,Bunda (Ac21),,,-5,19,-5,19,mpuo1241,Mbuun,zmp,Atlantic-Congo
Ethnographic Atlas,Neapolitans,Ce5,xd532,Neapolitians (Ce5),,,40.89,14.25,41,13,neap1235,Continental Southern Italian,nap,Indo-European
Binford Hunter-Gatherer,North Fork Mono,B219,xd993,North Fork Mono Paiute (B219),,,37,-119.07,37,-119.07,mono1275,Mono (USA),mnr,Uto-Aztecan
Binford Hunter-Gatherer,Bungi,B254,xd1213,Bungi (Plains Ojibwa) (B254),Ojibwa,NG06,47.6,-97.25,47.6,-97.25,west1510,Western Ojibwa,ojw,Algic
Standard cross-cultural sample,Bunlap,SCCS101,xd869,Pentecost (SCCS101),,,-15.95,168.22,-16,168,saaa1241,Sa,sax,Austronesian
Ethnographic Atlas,Tannese,Ih10,xd863,Tannese (Ih10),,,-19.6,169.44,-20,168,sout2869,Southwest Tanna,nwi,Austronesian
Ethnographic Atlas,Bunlap,Ih3,xd869,Bunlap (Ih3),,,-15.95,168.22,-16,168,saaa1241,Sa,sax,Austronesian
Ethnographic Atlas,Bunun,Ia10,xd733,Bunun (Ia10),,,24,121,24,121,bunu1267,Bunun,bnn,Austronesian
Western North American Indian database,Yana,WNAI62,xd1109,Yana (J62),,,40.5,-122,40.5,122,yana1271,Yana,ynn,Yana
Binford Hunter-Gatherer,Bunurong,B134,xd978,Bunurong (B134),,,-38.48,145.23,-38.93,145.07,woiw1237,Woiwurrung,wyi,Pama-Nyungan
Ethnographic Atlas,Bura,Ah35,xd326,Bura (Ah35),,,10,12,10,12,bura1292,Bura-Pabir,bwr,Afro-Asiatic
Western North American Indian database,North Tlingit,WNAI1,xd1431,North Tlingit (J1),Tlingit,NA12,59,-136,59,136,tlin1245,Tlingit,tli,Athapaskan-Eyak-Tlingit
Binford Hunter-Gatherer,Nez Perce,B324,xd1153,Nez Perce (B324),,,46.25,-116.46,46.25,-116.46,nezp1238,Nez Perce,nez,Sahaptian
Ethnographic Atlas,Burji,Ca14,xd420,Burji (Ca14),,,5,38,5,38,burj1242,Burji,bji,Afro-Asiatic
Ethnographic Atlas,Tao,Ia14,xd737,Yami (Ia14),,,22.05,121.55,22,122,yami1254,Yami,tao,Austronesian
Western North American Indian database,Nez Perce,WNAI107,xd1153,Nez Perce (J107),,,46,-117,46,117,nezp1238,Nez Perce,nez,Sahaptian
Ethnographic Atlas,Burmese,Ei3,xd709,Burmese (Ei3),Burmans,AP04,20,95,20,95,nucl1310,Burmese,mya,Sino-Tibetan
Ethnographic Atlas,Yanomami,Sd9,xd1361,Yanomamo (Sd9),Yanoama,SQ18,2,-65,2,-65,yano1261,Yanomamö,guu,Yanomamic
Ethnographic Atlas,Ngala,Ae28,xd147,Ngala (Ae28),,,1,18,1,18,ling1263,Lingala,lin,Atlantic-Congo
Western North American Indian database,Central Sierra Miwok,WNAI69,xd1136,Central Miwok (J69),,,38,-120,38,120,cent2140,Central Sierra Miwok,csm,Miwok-Costanoan
Ethnographic Atlas,Burusho,Ee2,xd654,Burusho (Ee2),Burusho,AV07,37,75,37,75,buru1296,Burushaski,bsk,Burushaski
Ethnographic Atlas,Chichimeca,Ni5,xd1290,Chichimec (Ni5),,,22,-100,22,-100,chic1272,Chichimeca-Jonaz,pei,Otomanguean
Standard cross-cultural sample,Burusho,SCCS64,xd654,Burusho (SCCS64),Burusho,AV07,36.43,74.58,36.43,74.58,buru1296,Burushaski,bsk,Burushaski
Ethnographic Atlas,Ngarawapum,Ie26,xd803,Ngarawapum (Ie26),,,-6,146,-6,146,adze1240,Adzera,adz,Austronesian
Ethnographic Atlas,Taos,Nh6,xd1282,Taos (Nh6),Taos,NT17,37,-106,37,-106,taos1236,Taos,,Kiowa-Tanoan
Ethnographic Atlas,Busama,Ie28,xd805,Busama (Ie28),,,-6.69,147.26,-7,147,buga1250,Bugawac,buk,Austronesian
Ethnographic Atlas,Buye,Ac31,xd57,Buye (Ac31),,,-7,28,-7,28,buyu1239,Buyu,byi,Atlantic-Congo
Standard cross-cultural sample,Yanomami,SCCS163,xd1361,Yanomamo (SCCS163),Yanoama,SQ18,2.42,-65,2.42,-65,yano1261,Yanomamö,guu,Yanomamic
Ethnographic Atlas,Ngbandi,Ai26,xd355,Ngbandi (Ai26),,,4,22,4,22,nort2774,Northern Ngbandi,ngb,Atlantic-Congo
Ethnographic Atlas,Ngere,Af56,xd237,Ngere (Af56),,,7,-8,7,-8,dann1241,Dan,daf,Mande
Binford Hunter-Gatherer,Chichimeca,B191,xd1290,Chichimec (B191),,,22,-100,22,-100,chic1272,Chichimeca-Jonaz,pei,Otomanguean
Ethnographic Atlas,Ngiyambaa,Id9,xd784,Wongaibon (Id9),,,-32,146,-32,146,wang1291,Wangaaybuwan-Ngiyambaa,wyb,Pama-Nyungan
Binford Hunter-Gatherer,Ngiyambaa,B130,xd784,Wongaibon (B130),,,-32.14,146.09,-32.14,146.09,wang1291,Wangaaybuwan-Ngiyambaa,wyb,Pama-Nyungan
Western North American Indian database,Taos,WNAI170,xd1282,Taos (J170),Taos,NT17,36.5,-105.5,36.5,105.5,taos1236,Taos,,Kiowa-Tanoan
Ethnographic Atlas,Cágaba,Sb2,xd1327,Cagaba (Sb2),Kogi,SC07,11,-74,11,-74,cogu1240,Cogui,kog,Chibchan
Ethnographic Atlas,Ngombe,Ae39,xd159,Ngombe (Ae39),,,2,20,2,20,binj1250,Binja,,Atlantic-Congo
Ethnographic Atlas,Yanzi,Ac26,xd51,Yanzi (Ac26),,,-4,18,-4,18,yans1239,Yansi,yns,Atlantic-Congo
